shop_name,shop_id,shop_city,shop_location
"!Якутск Орджоникидзе, 56 фран",0,!Якутск,other
"!Якутск ТЦ ""Центральный"" фран",1,!Якутск,shop. center
"Адыгея ТЦ ""Мега""",2,Адыгея,shop. center
"Балашиха ТРК ""Октябрь-Киномир""",3,Балашиха,shop. center
"Волжский ТЦ ""Волга Молл""",4,Волжский,shop. center
"Вологда ТРЦ ""Мармелад""",5,Вологда,shop. center
"Воронеж (Плехановская, 13)",6,Воронеж,other
"Воронеж ТРЦ ""Максимир""",7,Воронеж,shop. center
"Воронеж ТРЦ Сити-Парк ""Град""",8,Воронеж,shop. center
Выездная Торговля,9,Выездная,other
Жуковский ул. Чкалова 39м?,10,Жуковский,other
Жуковский ул. Чкалова 39м²,11,Жуковский,other
Интернет-магазин ЧС,12,Интернет-магазин,Online
"Казань ТЦ ""Бехетле""",13,Казань,shop. center
"Казань ТЦ ""ПаркХаус"" II",14,Казань,shop. center
"Калуга ТРЦ ""XXI век""",15,Калуга,shop. center
"Коломна ТЦ ""Рио""",16,Коломна,shop. center
"Красноярск ТЦ ""Взлетка Плаза""",17,Красноярск,shop. center
"Красноярск ТЦ ""Июнь""",18,Красноярск,shop. center
"Курск ТЦ ""Пушкинский""",19,Курск,shop. center
"Москва ""Распродажа""",20,Москва,other
"Москва МТРЦ ""Афи Молл""",21,Москва,shop. center
Москва Магазин С21,22,Москва,other
"Москва ТК ""Буденовский"" (пав.А2)",23,Москва,shop. center
"Москва ТК ""Буденовский"" (пав.К7)",24,Москва,shop. center
"Москва ТРК ""Атриум""",25,Москва,shop. center
"Москва ТЦ ""Ареал"" (Беляево)",26,Москва,shop. center
"Москва ТЦ ""МЕГА Белая Дача II""",27,Москва,shop. center
"Москва ТЦ ""МЕГА Теплый Стан"" II",28,Москва,shop. center
"Москва ТЦ ""Новый век"" (Новокосино)",29,Москва,shop. center
"Москва ТЦ ""Перловский""",30,Москва,shop. center
"Москва ТЦ ""Семеновский""",31,Москва,shop. center
"Москва ТЦ ""Серебряный Дом""",32,Москва,shop. center
"Мытищи ТРК ""XL-3""",33,Мытищи,shop. center
"Н.Новгород ТРЦ ""РИО""",34,Н.Новгород,shop. center
"Н.Новгород ТРЦ ""Фантастика""",35,Н.Новгород,shop. center
"Новосибирск ТРЦ ""Галерея Новосибирск""",36,Новосибирск,shop. center
"Новосибирск ТЦ ""Мега""",37,Новосибирск,shop. center
"Омск ТЦ ""Мега""",38,Омск,shop. center
"РостовНаДону ТРК ""Мегацентр Горизонт""",39,РостовНаДону,shop. center
"РостовНаДону ТРК ""Мегацентр Горизонт"" Островной",40,РостовНаДону,shop. center
"РостовНаДону ТЦ ""Мега""",41,РостовНаДону,shop. center
"СПб ТК ""Невский Центр""",42,СПб,shop. center
"СПб ТК ""Сенная""",43,СПб,shop. center
"Самара ТЦ ""Мелодия""",44,Самара,shop. center
"Самара ТЦ ""ПаркХаус""",45,Самара,shop. center
"Сергиев Посад ТЦ ""7Я""",46,Сергиев,shop. center
"Сургут ТРЦ ""Сити Молл""",47,Сургут,shop. center
"Томск ТРЦ ""Изумрудный Город""",48,Томск,shop. center
"Тюмень ТРЦ ""Кристалл""",49,Тюмень,shop. center
"Тюмень ТЦ ""Гудвин""",50,Тюмень,shop. center
"Тюмень ТЦ ""Зеленый Берег""",51,Тюмень,shop. center
"Уфа ТК ""Центральный""",52,Уфа,shop. center
"Уфа ТЦ ""Семья"" 2",53,Уфа,shop. center
"Химки ТЦ ""Мега""",54,Химки,shop. center
Цифровой склад 1С-Онлайн,55,Цифровой,Online
"Чехов ТРЦ ""Карнавал""",56,Чехов,shop. center
"Якутск Орджоникидзе, 56",57,Якутск,other
"Якутск ТЦ ""Центральный""",58,Якутск,shop. center
"Ярославль ТЦ ""Альтаир""",59,Ярославль,shop. center
